run_id,mechanism,optimizer,phase,point_index,lambda_multiplier,lambda,objective_gain_over_zero,task_loss_gain_over_zero,energy_penalty,energy_mean,max_norm_over_cap,mean_norm_over_cap,cap_bound_fraction,finite_status,gradient_status,gradient_norm,useful,interior,valid,failure_mode,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations
open_loop_small,affine,lbfgsb,bisection,5,2.8284271247461903,315077014.2553945,281.3543240447225,938.7807792906005,657.4264526367188,2.0865579699602677e-06,0.35350871086120605,0.3172939121723175,0.0,finite,finite,427034.71875,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,affine,lbfgsb,bisection,6,2.378414230005442,264947131.81620476,446.5878001462015,1863.4399547283347,1416.8521728515625,5.3476787797990255e-06,0.5318060517311096,0.5084259510040283,0.0,finite,finite,568826.375,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_small,affine,lbfgsb,bisection,7,2.1810154653305154,242957591.11094075,608.2202119301246,3170.1567200812433,2561.9365234375,1.054478889273014e-05,0.7519128918647766,0.713969886302948,0.0,finite,finite,819249.75,True,True,True,valid,True,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,8,11
open_loop_moderate,direct_epsilon,pgd_projected_epsilon,bracket,0,2.0,205863107.29599997,2240.4036122052485,6493.858527310745,4253.454915105496,2.066156957880594e-05,1.000000238418579,1.0,1.0,finite,finite,,True,False,False,cap_bound,True,direct_epsilon_inner_maximizer,8,0
open_loop_moderate,direct_epsilon,pgd_projected_epsilon,bracket,1,4.0,411726214.59199995,177.81920305062704,709.5006929760029,531.6819111960383,1.2913482123622089e-06,0.2500000596046448,0.2500000256111145,0.0,finite,finite,,True,True,True,valid,True,direct_epsilon_inner_maximizer,8,0
open_loop_moderate,direct_epsilon,pgd_projected_epsilon,bisection,2,2.8284271247461903,291134398.3302708,552.457972001851,3349.6619878446663,2797.204280628008,9.607948413759004e-06,0.9909480810165405,0.6560278780054515,0.0,finite,finite,,True,False,False,near_cap,True,direct_epsilon_inner_maximizer,8,0
open_loop_moderate,direct_epsilon,pgd_projected_epsilon,bisection,3,3.3635856610148585,346219097.9163944,262.41163404100007,709.5006929760029,447.0894131799925,1.2913482123622089e-06,0.2500000596046448,0.2500000256111145,0.0,finite,finite,,True,True,True,valid,True,direct_epsilon_inner_maximizer,8,0
open_loop_moderate,direct_epsilon,pgd_projected_epsilon,bisection,4,3.084421650815882,317484312.62400764,383.9295150068292,1584.9999600674546,1201.071239123951,3.783088459385908e-06,0.49209436774253845,0.41915913179141445,0.0,finite,finite,,True,True,True,valid,True,direct_epsilon_inner_maximizer,8,0
open_loop_moderate,linear_no_bias,line_search_known_direction,probe,0,0.5,51465776.82399999,36678.19399792062,52521.91177135812,15843.7177734375,0.0003078495792578906,4.508601665496826,3.8170652389526367,1.0,finite,finite,11995.578125,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,probe,1,1.0,102931553.64799999,20834.476224483125,52521.91177135812,31687.435546875,0.0003078495792578906,4.508601665496826,3.8170652389526367,1.0,finite,finite,5479.75,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,probe,2,2.0,205863107.29599997,1194.733343731611,8791.192328106612,7596.458984375,3.690053563332185e-05,1.5459208488464355,1.3248541355133057,1.0,finite,finite,237.95277404785156,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,probe,3,4.0,411726214.59199995,145.3539118612607,668.2387995565732,522.8848876953125,1.269982021767646e-06,0.278662770986557,0.24684441089630127,0.0,finite,finite,149.0530242919922,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,probe,4,8.0,823452429.1839999,19.957444214302086,261.3529978031693,241.3955535888672,2.9315057759049523e-07,0.13305510580539703,0.1186814084649086,0.0,finite,finite,345.8203125,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,bisection,5,2.8284271247461903,291134398.3302708,305.8440102428185,2088.2053383678185,1782.361328125,6.122125341789797e-06,0.6192359924316406,0.5411114692687988,0.0,finite,finite,218.04025268554688,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,bisection,6,2.378414230005442,244813871.91297174,589.4240883678185,2088.2053383678185,1498.78125,6.122125341789797e-06,0.6192359924316406,0.5411114692687988,0.0,finite,finite,121.8279800415039,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,line_search_known_direction,bisection,7,2.1810154653305154,224495310.3767856,507.19525779411106,8791.192328106612,8283.9970703125,3.690053563332185e-05,1.5459208488464355,1.3248541355133057,1.0,finite,finite,721.9424438476562,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_moderate,linear_no_bias,adam,probe,0,0.5,51465776.82399999,35762.00599607273,58850.29546706623,23088.2890625,0.00044861441710963845,4.805277347564697,4.65851354598999,1.0,finite,finite,9619629.0,True,False,False,cap_bound,True,adam_all_finite,12,12
open_loop_moderate,linear_no_bias,adam,probe,1,1.0,102931553.64799999,17752.55010896705,45467.651142675524,27715.1015625,0.00026925757993012667,3.743856191635132,3.6088709831237793,1.0,finite,finite,4945180.5,True,False,False,cap_bound,True,adam_all_finite,12,12
