beta,gamma,J_clean,J_adv,D,D_x,D_u,D_T,clean_x,clean_u,clean_T,adv_x,adv_u,adv_T,E_w,D_over_E_w,max_x_clean,max_x_adv,max_u_clean,max_u_adv,max_w_adv,max_xhat_clean,max_xhat_adv,recursion_D,rollout_recursion_D_abs_diff,rollout_recursion_J_clean_abs_diff,rollout_recursion_J_adv_abs_diff,riccati_spectral_radius_max,riccati_spectral_radius_margin_min,riccati_bracket_cond_max,riccati_max_P_cond,estimator_precision_min_eig_min,estimator_precision_cond_max,estimator_covariance_min_eig_min,estimator_covariance_cond_max,gain_op_max,policy_op_max,clean_joint_step_spectral_radius_max,adv_joint_step_spectral_radius_max,clean_joint_cumulative_op_norm_max,adv_joint_cumulative_op_norm_max,finite_all
1.348,12356.888572818714,4452.8060533850075,239991.98947765253,235539.1834242675,208085.2582499701,-72.0786814048497,27526.00385570227,2560.675075706968,1891.8453643091389,0.28561336890010586,210645.93332567706,1819.7666829042892,27526.28946907117,0.0015310135889754866,153845259.84637672,18.313088330056722,18.315728967246933,20.77834607523172,20.77834607523172,0.007942821184821522,18.313088804556994,18.315686445039127,235539.18342425558,1.1932570487260818e-08,1.1823431123048067e-11,1.1932570487260818e-08,0.07116664491788435,0.9288333550821156,27047.62678555523,1036422576854.749,0.0628079888601893,1283.7846699127447,0.009899084021166448,1271.2477011004619,875.6701881978316,0.2841893447233403,1.0,1.0856149195610931,310.0245003138446,324.7963754506808,True
1.349,12366.055404104187,4452.570825623923,178731.70882829334,174279.1380026694,154048.88153146126,-89.74256182198474,20319.999033030148,2560.7935234410807,1891.4892857680254,0.2880164148169785,156609.67505490233,1801.7467239460407,20320.287049444963,0.0011296592564986082,154275846.45554942,18.311550868809753,18.314006315850865,20.77650290536536,20.77650290536536,0.006816491237588274,18.3115513425659,18.313966387464067,174279.13800266696,2.444721758365631e-09,4.001776687800884e-11,2.4156179279088974e-09,0.07096380984592085,0.9290361901540791,26964.43395314093,1036278124543.6909,0.06281057788330928,1283.7846699031036,0.009899084021166267,1271.2477010982786,874.3163035777203,0.27701396367409337,1.0,1.0814539057784884,309.9690262961582,323.48337641535966,True
1.35,12375.222235389661,4452.3363289039635,138846.22212369624,134393.88579479227,118858.45833452404,-97.63478511050243,15633.062245378716,2560.9117418670176,1891.1341584928034,0.2904285441431747,121419.37007639106,1793.499373382301,15633.35267392286,0.0008686840942009535,154709734.74933088,18.31001716061843,18.312333189155495,20.77466427227144,20.77466427227144,0.005971962935967832,18.310017633632228,18.312295203681778,134393.88579478906,3.2014213502407074e-09,1.7553247744217515e-10,3.3760443329811096e-09,0.07076199403990423,0.9292380059600958,26881.81790726613,1036134043898.3994,0.06281316044382283,1283.7846698934923,0.009899084021166009,1271.2477010961004,872.9697146335872,0.2703497355968194,1.0,1.077570013445992,309.91369633554916,322.48301493592555,True
1.351,12384.389066675136,4452.1025607290985,111412.29588247107,106960.19332174197,94648.22821640859,-100.59734258115805,12412.562447914537,2561.0297321084427,1890.7799788942395,0.2928497264164051,97209.25794851703,1790.1826363130815,12412.855297640954,0.0006894125813849811,155146854.30728072,18.308487192993194,18.310694302456735,20.77283016069411,20.77283016069411,0.0053152296729354264,18.308487665266423,18.310657829302688,106960.19332175245,1.0477378964424133e-08,5.547917680814862e-11,1.0433723218739033e-08,0.07056397600426179,0.9294360239957382,26799.773027067626,1035990333601.5317,0.06281573656240239,1283.784669883886,0.009899084021166772,1271.247701093924,871.6303636707037,0.2649346107147317,1.0,1.0738587570345999,309.85850991780046,321.6908318937183,True
1.352,12393.55589796061,4451.869518611951,91724.28044605322,87272.41092744126,77269.6883072693,-100.96414637678004,10103.686766548753,2561.147495279738,1890.426743401149,0.295279931063944,79830.83580254905,1789.462597024369,10103.982046479818,0.000560923050731854,155587135.90674192,18.30696095349747,18.30908048614332,20.771000555443084,20.771000555443084,0.004789913704713768,18.3069614250319,18.3090452256894,87272.41092744973,8.469214662909508e-09,8.640199666842818e-11,8.381903171539307e-09,0.07037005143196122,0.9296299485680388,26718.29376186949,1035846992341.7424,0.06281830625964943,1283.7846698742921,0.009899084021166578,1271.247701091755,870.298193599142,0.25975565748070006,1.0,1.0708772232532984,309.8034665310462,321.0442606801541,True
1.353,12402.722729246083,4451.637200073713,77108.79886214733,72657.16166207362,64365.70110408935,-99.93743132591067,8391.397989310184,2561.2650324860087,1890.0744484602985,0.2977191274053724,66926.96613657536,1790.1370171343879,8391.69570843759,0.0004656599594272075,156030511.51627192,18.3054384297475,18.30748590358416,20.769175441393475,20.769175441393475,0.004360151280245113,18.3054389005449,18.307451638956053,72657.16166206695,6.664777174592018e-09,9.822542779147625e-11,6.577465683221817e-09,0.07017706151381206,0.9298229384861879,26637.374630115955,1035704018813.6803,0.06282086955607709,1283.7846698647688,0.009899084021166788,1271.247701089591,868.9731479258969,0.2547974539714746,1.0,1.0679838088975342,309.74856566576034,320.50354046811134,True
1.354,12411.889560531557,4451.40560264417,65955.17148962354,61503.76588697937,54515.94582894775,-98.16749582306852,7085.987553854683,2561.382344823205,1889.7230905363099,0.3001672846551184,57077.328173770955,1791.5555947132414,7086.287721139338,0.0003930532894689025,156476914.28834972,18.30391960941215,18.305906661241067,20.76735480348529,20.76735480348529,0.00400204017797066,18.30392007947429,18.305873230406434,61503.765886969566,9.800714906305075e-09,3.8198777474462986e-11,9.837094694375992e-09,0.06998499960101236,0.9300150003989877,26557.01021831877,1035561411717.9363,0.06282342647213107,1283.7846698551969,0.00989908402116614,1271.2477010874316,867.6551707470827,0.25004589589818726,1.0,1.0651745766065899,309.69380681474337,320.0421931538616,True
1.355,12421.05639181703,4451.174723861633,57245.70801159049,52794.53328772886,46822.90037994999,-96.01871987957497,6067.651627658448,2561.4994333782342,1889.372666111473,0.3026243719249677,49384.39981332822,1793.3539462318981,6067.954252030373,0.0003364288873417098,156926278.55141824,18.302404480212303,18.30434006076508,20.76553862672298,20.76553862672298,0.0036990366502572493,18.30240494954092,18.304307339476622,52794.533287734914,6.05359673500061e-09,4.001776687800884e-11,6.017216946929693e-09,0.06979385910773951,0.9302061408922605,26477.19518004716,1035419169760.9961,0.06282597702816779,1283.7846698457124,0.009899084021166392,1271.2477010852765,866.3442067403058,0.2454880587802436,1.0,1.0626667531238623,309.6391894731076,319.64190428583237,True
1.356,12430.223223102505,4450.944561272945,50311.59385151545,45860.6492902425,40696.65280544797,-93.7001699055561,5257.696654700085,2561.6162992289956,1889.0231716857224,0.3050903582267216,43258.26910467697,1795.3230017801664,5258.001745058312,0.0002914034489590739,157378539.80130273,18.300893029921006,18.302784171854395,20.76372689617534,20.76372689617534,0.0034393260883037254,18.30089349851786,18.30275206274527,45860.64929025719,1.4690158423036337e-08,2.0372681319713593e-10,1.4486431609839201e-08,0.06960363351040338,0.9303963664895967,26397.924234902846,1035277291655.238,0.06282852124447448,1283.7846698361636,0.009899084021166432,1271.2477010831265,865.0402011571066,0.2412379229647481,1.0,1.0604535876948034,309.58471313826624,319.2896019631849,True
1.357,12439.390054387977,4450.71511243342,44698.50371894305,40247.78860650963,35736.42861309537,-91.33331503514182,4602.6933084494,2561.7329434444846,1888.6746037764606,0.3075652124746465,38298.16155653985,1797.3412887413187,4603.000873661875,0.000255001341666099,157833634.69204974,18.299385246362903,18.301237576083334,20.761919596975208,20.761919596975208,0.003214245909889057,18.299385714229732,18.30120600143135,40247.78860653123,2.1595042198896408e-08,2.7284841053187847e-12,2.1595042198896408e-08,0.06941431634691257,0.9305856836530875,26319.192167533085,1035135776118.8672,0.06283105914125661,1283.784669826837,0.009899084021166602,1271.2477010809807,863.7430998155507,0.2375975938904343,1.0,1.0582931397000488,309.5303773099195,318.97570621896193,True
1.358,12448.556885673454,4450.486374906859,40088.97697255063,35638.490597643766,31662.15270361132,-88.98873924204372,4065.3266332744934,2561.849367084914,1888.3269589184574,0.3100489034879044,34224.00207069623,1799.3382196764137,4065.636682177981,0.00022514468791182417,158291501.02622563,18.297881117414097,18.299699206856225,20.76011671431886,20.76011671431886,0.0030173001218968816,18.29788158455264,18.299668103629084,35638.49059765091,7.144990377128124e-09,7.912603905424476e-11,7.225025910884142e-09,0.0692259012159497,0.9307740987840503,26240.993826661135,1034994621875.9214,0.06283359073864564,1283.7846698172614,0.00989908402116637,1271.247701078841,862.4528490929254,0.23407591740776162,1.0,1.0561835230030594,309.4761814900413,318.69303596778326,True
1.359,12457.723716958926,4450.258346265484,36255.71281939253,31805.454473127047,28273.268560854856,-86.70679181155197,3618.8927040837434,2561.9655712017234,1887.9802336637667,0.3125413999931343,30835.23413205658,1801.2734418522148,3619.2052454837367,0.0002003466973469849,158752077.74472305,18.29638063100189,18.298168245881516,20.758318233465875,20.758318233465875,0.002843521826919595,18.29638109741388,18.298137562251434,31805.454473139183,1.2136297300457954e-08,2.1827872842550278e-11,1.2158125173300505e-08,0.06903838177625754,0.9309616182237425,26163.324124125706,1034853827656.2047,0.06283611605669293,1283.7846698078379,0.009899084021166718,1271.2477010767043,861.1693959185358,0.23066704175292257,1.0,1.0542265626236935,309.4221251828703,318.4361023389183,True
1.36,12466.8905482444,4450.031024089936,33032.46606245576,28582.435038365824,25423.07422135412,-84.50956345208306,3243.8703804637917,2562.0815568377197,1887.6344245815892,0.31504267062679436,27985.155778191838,1803.1248611295061,3244.1854231344187,0.0001795206500620489,159215304.91610122,18.294883775104456,18.296644054173683,20.756524139738854,20.756524139738854,0.002689048309957478,18.294884240791625,18.296613747007775,28582.435038374257,8.43283487483859e-09,1.3460521586239338e-10,8.301867637783289e-09,0.06885175174593543,0.9311482482540646,26086.178033942197,1034713392195.2681,0.06283863511537688,1283.7846697984062,0.00989908402116681,1271.2477010745745,859.89268776664,0.2273654954561389,1.0,1.0525372902081769,309.3682078948916,318.2006379138393,True
1.375,12604.393017526507,4446.7043476232875,13963.112074445595,9516.407726822308,8540.644295507394,-61.96924323846633,1037.7326745533799,2563.795807237176,1882.5549473361928,0.3535930499182918,11104.440102744571,1820.5857040977264,1038.0862676032982,5.717471983742072e-05,166444326.3365821,18.272858576327693,18.274391742621614,20.730129396989675,20.730129396989675,0.0014948913730297624,18.272859031345902,18.274364580071396,9516.407726821499,8.094502845779061e-10,4.638422979041934e-11,8.549250196665525e-10,0.066154932539154,0.9338450674608461,24988.582438321773,1032649068729.0988,0.06287568322663703,1283.784669659611,0.009899084021166502,1271.2477010431633,841.5875479947681,0.19008036528065061,1.0,1.0376943852947256,308.57580202900164,315.9270370594628,True
1.4,12833.563799663352,4441.490674655703,8146.453943476689,3704.9632688209867,3373.80633173402,-45.830453819308104,376.987390906274,2566.5528145819935,1874.5159405164163,0.421919557293546,5940.359146316014,1828.6854866971082,377.4093104635676,2.0657128682206633e-05,179355191.41207266,18.237854558443786,18.239234494019414,20.688196757221785,20.688196757221785,0.0008757069848872443,18.2378549964921,18.239209510369506,3704.963268819327,1.659827830735594e-09,1.2732925824820995e-11,1.647094904910773e-09,0.06205038447780608,0.9379496155221939,23378.77115385074,1029376315981.859,0.06293448505494006,1283.7846694381644,0.009899084021166626,1271.2477009930385,814.5350565619993,0.15352817233105115,1.0,1.034301922223176,307.3201111680743,313.7290056540924,True
