beta,gamma,deterministic_clean_cost,deterministic_adversarial_cost,deterministic_damage,noisy_clean_cost,noisy_adversarial_cost,noisy_damage
1.355,12421.05639181703,4451.174723861593,57245.70801159651,52794.533287734914,4792.386782981991,81345.04359909486,76552.65681611287
1.356,12430.223223102505,4450.944561272741,50311.593851529935,45860.64929025719,4791.470194535636,71870.11952977012,67078.64933523448
1.357,12439.390054387977,4450.715112433417,44698.50371896465,40247.78860653123,4790.558425485991,64128.19938754743,59337.640962061436
1.358,12448.556885673454,4450.486374906938,40088.97697255785,35638.49059765091,4789.651438633042,57715.43351924527,52925.78208061223
1.359,12457.723716958926,4450.258346265506,36255.71281940469,31805.454473139183,4788.749197173949,52339.921116206955,47551.171919033004
1.36,12466.8905482444,4450.031024089802,33032.46606246406,28582.435038374257,4787.851664695469,47786.271889287986,42998.42022459252
1.37,12558.558861099138,4447.796131656752,17179.87382492907,12732.077693272317,4779.127591764252,24789.502164741654,20010.374572977402
1.38,12650.227173953876,4445.629285954911,11895.825908021332,7450.196622066421,4770.837067437073,16780.29383524342,12009.456767806349
1.39,12741.895486808613,4443.528202341258,9472.2064528104,5028.678250469142,4762.949363379511,12999.863191662265,8236.913828282755
1.4,12833.563799663352,4441.490674655715,8146.453943475042,3704.963268819327,4755.436674245229,10887.127350743867,6131.690676498638
1.41,12925.23211251809,4439.514572760507,7334.877443720142,2895.362870959635,4748.273768306822,9571.271972158076,4822.998203851254
1.42,13016.900425372829,4437.59784013705,6797.559846644746,2359.962006507696,4741.437687757114,8687.335706435426,3945.898018678312
1.43,13108.568738227566,4435.73849153922,6420.643809797436,1984.9053182582156,4734.907490602408,8059.435706776045,3324.528216173637
1.44,13200.237051082306,4433.934610699574,6144.222124610721,1710.2875139111475,4728.6640275190175,7593.839979843143,2865.1759523241253
1.45,13291.905363937043,4432.184348090867,5934.218336997575,1502.0339889067072,4722.689748243955,7236.642331864592,2513.9525836206367
1.46,13383.573676791782,4430.485918738457,5770.028023189741,1339.542104451284,4716.968532998919,6954.929705616653,2237.9611726177345
1.47,13475.24198964652,4428.8376000865865,5638.564125504508,1209.726525417922,4711.485545224441,6727.612829794641,2016.1272845701997
1.48,13566.91030250126,4427.237729915522,5531.170454624913,1103.9327247093906,4706.22710251684,6540.629927114188,1834.4028245973477
1.49,13658.578615355997,4425.684704312795,5441.923656095393,1016.2389517825986,4701.180563171783,6384.286574002481,1683.1060108306974
1.5,13750.246928210734,4424.176975695967,5366.651562222563,942.4745865265968,4696.334226151527,6251.706550942368,1555.372324790841
1.51,13841.915241065473,4422.713050887151,5302.341389115487,879.6283382283355,4691.677242638799,6137.891629945792,1446.2143873069936
1.52,13933.58355392021,4421.291489240873,5246.769896222324,825.4784069814514,4687.199537623149,6039.130341251686,1351.9308036285374
1.53,14025.25186677495,4419.910900823919,5198.264937035479,778.35403621156,4682.891740196207,5952.61456702239,1269.7228268261824
1.54,14116.920179629687,4418.569944645621,5155.547464930004,736.977520284383,4678.74512143583,5876.184109231094,1197.4389877952644
1.55,14208.588492484427,4417.267326943242,5117.62429098282,700.3569640395781,4674.751538916702,5808.152410023329,1133.4008711066272
